Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Trọng lượng,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần
Hàng hóa,Piston,SP001159,,Piston bơm hơi Ø90 (P),,"140,000.0","95,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bạc Biên + Balye>>Bạc ống/ Balye,SP001158,,Bạc ống CY4102Q cốt 0.25 hộp vàng (M),,"170,000.0","115,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Trục ắc phi dê,SP001157,,Trục ắc phi dê 48*53*278 ZhongZhou (M),,"700,000.0","535,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,0.0,1,1,,,,
Hàng hóa,Bát phanh,SP001156,,Bát phanh phi 20 Mỹ (M),,"50,000.0","27,000.0",7.0,0.0,140 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001155,,Bi đũa mai ơ Howo (28*40*27) (T),,"35,000.0","19,000.0",12.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,hệ thống phanh>>Bầu lốc kê,SP001154,,Bầu lốc kê sau L375 (EQ 153 bầu to 1 bát) ti ngắn Golden Sun phi 16*120 lỗ hơi 22 (T),,"700,000.0","585,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây số chính,SP001153,,"Dây số chính 2,6m 1 ốc 1 tai 8*8 (T)",,"100,000.0","67,000.0",10.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây số chính,SP001152,,Dây số chính 2.4m 1 ốc 1 tai phi 8*8 (T),,"100,000.0","65,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Quả văn,SP001151,,Quả văng bơm cao áp YN490QB côn 17 (T),,"400,000.0","329,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,"JQ128  ko BR - Q128 Lỗ côn 16, C.Cao tổng 82 , 6 đinh ốc, lỗ ốc 21, ca vét 3 ly, ĐK ngoài 105",,,
Hàng hóa,Trục ắc nhíp,SP001150,,Trục ắc nhíp phi 35 dài 165 EQ 153 sau (T),,"55,000.0","45,000.0",20.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
